Id,total_weight1,degree1,total_weight2,degree2,total_weight3,degree3,total_weight4,degree4,total_weight5,degree5,total_weight6,degree6,total_weight7,degree7,total_weight8,degree8,total_weight9,degree9,total_weight10,degree10,total_weight0,degree0
0,143932,25494,201518,31795,64206,15309,323782,51276,33506,5956,5462,780,30255,5182,729,176,2776,407,5391,995,0,0
1,0,0,131583,22904,313187,68810,151529,27930,332027,41460,226380,35443,63201,12648,2559,333,60304,11538,328,66,135394,25009
2,109099,18576,0,0,26439,7257,293630,45620,549,185,18152,3138,17317,3304,14280,2644,2047,513,1625,317,224655,37356
3,284649,62644,25673,5505,0,0,116869,23076,9833,2210,6166,1572,44654,9199,216,81,1902,306,2,2,31484,8205
4,136305,24084,213831,39898,363898,57767,0,0,23814,4418,30266,5622,56264,9155,604,149,2375,561,4950,1090,274403,50168
5,162261,7867,2030,381,14738,4075,10240,1998,0,0,236231,21629,4448,1209,51,16,463,79,195,67,14605,2476
6,41327,7184,10066,1395,19996,3906,43947,3840,127514,17689,0,0,3011,871,134,54,3817,579,271,79,2017,440
7,36664,8202,53482,6416,325912,56815,98680,14593,5075,1107,3964,1054,0,0,104,48,533,84,5,2,46687,7471
8,768,120,7087,1037,6,5,867,245,0,0,28,14,3,2,0,0,0,0,316,92,364,133
9,9382,1457,1069,178,1088,321,3180,613,7729,1341,95223,8353,682,135,2,1,0,0,17,6,635,155
10,177,44,846,114,0,0,10784,987,34,11,18,6,0,0,56,18,0,0,0,0,1045,172
