Net,PC_Mean_GT, PC_Mean_RC,T_Possitive,F_Possitive 
Network1,0.6604814838780072,0.6512020539146719,383,69 
Network2,0.6967573532532849,0.6886842079969162,410,108 
Network3,0.7291399997097007,0.7441061435306431,352,214 
Network4,0.7540192105432966,0.7626647197478885,246,150 
Network5,0.7782510857309304,0.7889305827642309,313,179 
Network6,0.799595809210147,0.8037234053840484,368,181 
Network7,0.8237453259925752,0.8398504803695103,365,335 
Network8,0.8435235219221414,0.8340444238764693,396,73 
Network9,0.8605794773757215,0.8556826808908335,406,239 
Network10,0.8757609075433721,0.8756803607536688,400,251 
Network11,0.8880157542357597,0.8758129203334004,472,159 
Network1,0.6604814838780072,0.6390314520856867,408,36 
Network2,0.6967573532532849,0.6797895612958607,419,73 
Network3,0.7291399997097007,0.7265497007962561,360,102 
Network4,0.7540192105432966,0.7663092471294467,248,188 
Network5,0.7782510857309304,0.777204284720211,322,68 
Network6,0.799595809210147,0.8006925058214206,384,142 
Network7,0.8237453259925751,0.8139422801333258,374,115 
Network8,0.8435235219221413,0.8310467856090746,414,39 
Network9,0.8605794773757216,0.8503226261859781,409,55 
Network10,0.8757609075433721,0.8647934403604229,409,68 
Network11,0.8880157542357597,0.8745906397295652,462,165 
Network1,0.6604814838780072,0.6390314520856867,408,36 
Network2,0.6967573532532849,0.6797895612958607,419,73 
Network3,0.7291399997097007,0.7265497007962561,360,102 
Network4,0.7540192105432966,0.7663092471294467,248,188 
Network5,0.7782510857309304,0.777204284720211,322,68 
Network6,0.799595809210147,0.8006925058214206,384,142 
Network7,0.8237453259925751,0.8139422801333258,374,115 
Network8,0.8435235219221413,0.8310467856090746,414,39 
Network9,0.8605794773757216,0.8503226261859781,409,55 
Network10,0.8757609075433721,0.8647934403604229,409,68 
Network11,0.8880157542357597,0.8745906397295652,462,165 
