measures, weight, edge_betweenness
count,3586332.0,3586332.0
mean,7.79420812127823,7.636206350816011e-07
std,15.827808061628895,2.512018809503259e-06
min,1.0,2.524808120768601e-09
25%,2.0,9.8723474625478e-08
50%,4.0,2.2804444439673106e-07
75%,8.0,6.068027525193055e-07
max,1040.0,0.0009433677707108
median,4.0,2.2804444439673106e-07
mode,1.0,2.524808120768601e-09
variance,250.51950803576466,6.31023849929817e-12
skewness,11.810038053678529,44.96590276988781
kurtosis,234.96905953243476,8347.057481445647
shapiro_w,0.3535778522491455,0.22575372457504272
shapiro_w_p,0.0,0.0
